EdgeDetectionMethod	128px(ms)	300px(ms)	512px(ms)	1024px(ms)	2048px(ms)
prewitt	6	19	69	254	1083
prewitt	4	25	71	291	1113
prewitt	5	20	97	249	1260
prewitt	3	27	67	325	1121
prewitt	2	17	116	262	1152
prewitt	3	24	107	248	1301
prewitt	6	24	71	233	1267
prewitt	2	19	78	245	1215
prewitt	2	38	77	275	1258
prewitt	3	43	80	231	1167
sobel	5	35	81	242	1107
sobel	5	28	85	222	1147
sobel	5	23	82	256	1323
sobel	4	18	82	262	1330
sobel	3	24	86	288	1351
sobel	3	18	78	256	1430
sobel	3	24	84	253	1225
sobel	4	21	58	226	1593
sobel	3	27	59	211	1114
sobel	2	22	62	309	1062
robert	9	30	59	273	1083
robert	5	20	81	264	1084
robert	4	22	79	272	1217
robert	4	27	67	224	1091
robert	4	23	63	295	1037
robert	8	21	94	263	1083
robert	5	16	104	238	1079
robert	4	21	84	226	1185
robert	4	30	65	222	1025
robert	6	24	61	221	1089
