EdgeDetectionMethod	128px(ms)	300px(ms)	512px(ms)	1024px(ms)	2048px(ms)
prewitt	50	43	49	62	166
prewitt	48	36	51	57	257
prewitt	48	55	49	73	214
prewitt	49	43	51	62	154
prewitt	52	55	62	56	241
prewitt	65	45	47	79	141
prewitt	40	81	54	55	293
prewitt	48	67	44	88	253
prewitt	47	45	62	49	133
prewitt	56	38	43	69	192
sobel	87	42	52	115	141
sobel	51	58	57	66	142
sobel	45	52	45	57	259
sobel	40	50	51	72	140
sobel	48	50	57	63	165
sobel	49	47	60	73	306
sobel	56	45	51	83	173
sobel	45	50	50	56	272
sobel	50	50	60	90	153
sobel	49	51	72	59	125
robert	60	32	37	90	90
robert	67	31	47	41	118
robert	41	34	48	47	145
robert	41	41	42	63	74
robert	34	39	68	51	97
robert	37	61	46	52	195
robert	42	35	38	86	80
robert	35	33	40	53	143
robert	41	37	36	73	143
robert	35	51	41	48	96
