Type,Time(ms),Memory(MB)
8-bit,210,31.158111572265625
8-bit,202,33.08526611328125
8-bit,209,35.012420654296875
8-bit,207,36.9395751953125
8-bit,218,38.866729736328125
8-bit,202,40.932334899902344
8-bit,203,42.85948944091797
8-bit,203,44.786643981933594
8-bit,211,46.71379852294922
8-bit,210,48.640953063964844
8-bit,214,50.56810760498047
8-bit,203,52.495262145996094
8-bit,219,54.42241668701172
8-bit,202,56.349571228027344
8-bit,203,58.27672576904297
8-bit,204,60.203880310058594
8-bit,203,62.13103485107422
8-bit,204,64.05818939208984
8-bit,206,65.98534393310547
8-bit,203,67.9124984741211
8-bit,204,69.83965301513672
8-bit,205,71.76680755615234
8-bit,204,73.69396209716797
8-bit,202,75.6211166381836
8-bit,204,77.54827117919922
8-bit,206,79.47542572021484
8-bit,203,81.40258026123047
8-bit,218,18.791709899902344
8-bit,203,20.12529754638672
8-bit,207,22.14575958251953
8-bit,205,23.95838165283203
8-bit,203,25.978843688964844
8-bit,203,27.791465759277344
8-bit,203,29.811927795410156
8-bit,203,31.624549865722656
8-bit,203,33.64501190185547
8-bit,204,35.45763397216797
8-bit,206,37.47809600830078
8-bit,205,39.29071807861328
8-bit,205,41.311180114746094
8-bit,204,43.123802185058594
8-bit,203,45.144264221191406
8-bit,206,46.956886291503906
8-bit,203,49.070220947265625
8-bit,227,51.510292053222656
8-bit,203,53.53075408935547
8-bit,203,55.34337615966797
8-bit,204,57.36383819580078
8-bit,203,59.17646026611328
8-bit,202,61.196922302246094
8-bit,203,63.009544372558594
8-bit,203,65.0300064086914
8-bit,204,66.8426284790039
8-bit,203,68.86309051513672
8-bit,204,70.67571258544922
8-bit,205,72.69617462158203
8-bit,204,74.50879669189453
8-bit,204,76.52925872802734
8-bit,203,78.43570709228516
8-bit,204,80.45616912841797
8-bit,205,82.26879119873047
8-bit,225,17.649642944335938
8-bit,206,19.006813049316406
8-bit,208,21.073165893554688
8-bit,209,23.062049865722656
8-bit,203,24.874671936035156
8-bit,203,26.74980926513672
8-bit,203,28.801170349121094
8-bit,203,30.613792419433594
8-bit,203,32.66515350341797
8-bit,203,34.415260314941406
8-bit,204,36.40412902832031
8-bit,203,38.4547119140625
8-bit,204,40.267333984375
8-bit,203,42.14247131347656
8-bit,203,44.19383239746094
8-bit,203,46.00645446777344
8-bit,203,48.05781555175781
8-bit,203,49.80792236328125
8-bit,203,51.796791076660156
8-bit,203,53.785675048828125
8-bit,203,55.598297119140625
8-bit,203,57.535301208496094
8-bit,202,59.58666229248047
8-bit,203,61.39928436279297
8-bit,203,63.450645446777344
8-bit,202,65.20075225830078
8-bit,202,67.18962097167969
8-bit,204,69.17945861816406
8-bit,203,70.99208068847656
8-bit,203,72.86721801757812
8-bit,202,74.9185791015625
8-bit,202,76.79289245605469
8-bit,203,78.84425354003906
8-bit,203,80.5943603515625
8-bit,203,82.5832290649414
8-bit,233,17.961898803710938
8-bit,209,19.012283325195312
8-bit,203,20.93891143798828
8-bit,204,23.795509338378906
RGB,237,33.75529479980469
RGB,203,35.81793212890625
RGB,202,37.988365173339844
RGB,202,40.15879821777344
RGB,203,42.32923126220703
RGB,202,44.687217712402344
RGB,203,46.81237030029297
RGB,202,48.937522888183594
RGB,201,51.10795593261719
RGB,207,53.27838897705078
RGB,205,55.448822021484375
RGB,203,57.61925506591797
RGB,206,59.78968811035156
RGB,201,61.960121154785156
RGB,202,65.46432495117188
RGB,243,67.63475799560547
RGB,204,69.80519104003906
RGB,203,71.97562408447266
RGB,202,74.14605712890625
RGB,203,76.31649017333984
RGB,202,21.024459838867188
RGB,204,25.283058166503906
RGB,202,28.31916046142578
RGB,203,29.604896545410156
RGB,202,32.64099884033203
RGB,204,33.926734924316406
RGB,210,37.39635467529297
